Date,Product,Category,Quantity,Price,Region
2024-10-17,Monitor,Electronics,15,13675,West
2024-06-13,Desk,Furniture,14,19022,South
2024-01-07,Keyboard,Electronics,16,47157,South
2024-02-05,Books,Stationery,19,20179,North
2024-01-11,Table,Furniture,1,23336,South
2024-04-28,Notebook,Stationery,3,37434,West
2024-08-09,Headphones,Electronics,6,1379,North
2024-12-29,Chair,Furniture,12,43961,West
2024-05-07,Mobile,Electronics,14,48954,West
2024-01-14,Mobile,Electronics,19,27956,North
2024-09-02,Chair,Furniture,7,23852,South
2024-01-29,Notebook,Stationery,4,41501,North
2024-11-21,Sofa,Furniture,5,16558,South
2024-02-03,Mobile,Electronics,4,31753,North
2024-03-27,Laptop,Electronics,6,12975,North
2024-06-16,Table,Furniture,6,29502,South
2024-06-21,Laptop,Electronics,7,27629,North
2024-11-05,Chair,Furniture,14,20709,East
2024-10-08,Tablet,Electronics,4,21974,North
2024-06-12,Tablet,Electronics,8,24163,North
2024-02-24,Pen,Stationery,8,28869,East
2024-10-15,Table,Furniture,5,23963,South
2024-12-02,Pen,Stationery,3,32087,South
2024-07-19,Books,Stationery,11,581,South
2024-10-22,Chair,Furniture,9,15148,North
2024-02-11,Laptop,Electronics,11,18123,North
2024-08-16,Pen,Stationery,3,28245,West
2024-01-12,Notebook,Stationery,6,23493,East
2024-01-17,Monitor,Electronics,17,35872,South
2024-11-13,Mouse,Electronics,17,20591,West
2024-07-16,Pen,Stationery,17,1850,West
2024-02-28,Mobile,Electronics,12,12018,South
2024-09-22,Headphones,Electronics,15,28035,West
2024-11-30,Books,Stationery,7,44913,North
2024-11-23,Books,Stationery,19,15123,South
2024-04-12,Pen,Stationery,18,36162,North
2024-07-06,Sofa,Furniture,3,35535,North
2024-07-01,Sofa,Furniture,5,29966,East
2024-12-14,Pen,Stationery,17,44647,South
2024-01-16,Headphones,Electronics,18,48388,North
2024-08-14,Desk,Furniture,2,8602,South
2024-09-30,Table,Furniture,13,27888,West
2024-01-29,Pen,Stationery,7,41873,South
2024-09-28,Headphones,Electronics,12,13084,West
2024-12-24,Books,Stationery,10,39937,West
2024-05-21,Laptop,Electronics,17,2150,West
2024-10-19,Table,Furniture,4,33013,North
2024-03-13,Headphones,Electronics,14,47154,East
2024-07-05,Laptop,Electronics,4,31983,South
2024-07-16,Headphones,Electronics,5,41998,East
2024-11-28,Notebook,Stationery,11,29857,South
2024-03-03,Mouse,Electronics,4,49088,South
2024-11-25,Tablet,Electronics,13,34257,East
2024-09-15,Chair,Furniture,9,27476,West
2024-02-16,Chair,Furniture,5,8345,East
2024-08-28,Laptop,Electronics,3,18397,North
2024-03-02,Notebook,Stationery,3,25525,North
2024-03-29,Pen,Stationery,6,7387,North
2024-04-14,Chair,Furniture,2,17774,West
2024-08-13,Pen,Stationery,9,17702,West
2024-09-17,Chair,Furniture,15,42620,East
2024-11-23,Notebook,Stationery,15,4233,East
2024-02-06,Printer,Electronics,18,29225,West
2024-03-21,Monitor,Electronics,5,21552,South
2024-11-18,Printer,Electronics,19,19229,West
2024-09-18,Desk,Furniture,13,34180,West
2024-09-25,Books,Stationery,16,18188,East
2024-06-03,Laptop,Electronics,10,20770,South
2024-11-09,Books,Stationery,11,49808,North
2024-06-08,Pen,Stationery,10,40429,East
2024-03-22,Keyboard,Electronics,7,36866,West
2024-01-12,Table,Furniture,13,26688,East
2024-04-22,Desk,Furniture,13,9982,North
2024-12-09,Printer,Electronics,2,13087,North
2024-03-14,Notebook,Stationery,19,47617,North
2024-02-06,Sofa,Furniture,15,25921,North
2024-08-06,Desk,Furniture,4,7591,West
2024-07-11,Monitor,Electronics,17,8173,South
2024-09-26,Desk,Furniture,18,2453,West
2024-09-07,Books,Stationery,12,12039,East
2024-05-13,Monitor,Electronics,7,44164,East
2024-01-26,Pen,Stationery,11,29341,South
2024-04-08,Table,Furniture,4,14388,North
2024-10-11,Mouse,Electronics,15,41946,North
2024-03-24,Notebook,Stationery,15,13361,South
2024-08-23,Pen,Stationery,3,44513,West
2024-12-22,Headphones,Electronics,15,16435,East
2024-09-13,Sofa,Furniture,5,5726,South
2024-06-11,Sofa,Furniture,2,2080,West
2024-09-27,Laptop,Electronics,12,26485,West
2024-11-04,Notebook,Stationery,17,36544,West
2024-07-17,Pen,Stationery,14,20117,East
2024-01-24,Printer,Electronics,12,41752,West
2024-06-01,Sofa,Furniture,14,626,South
2024-08-23,Sofa,Furniture,17,28641,West
2024-11-14,Keyboard,Electronics,16,9308,South
2024-03-04,Chair,Furniture,2,17067,North
2024-11-15,Printer,Electronics,18,26689,South
2024-01-11,Sofa,Furniture,6,26243,North
2024-09-23,Laptop,Electronics,6,30187,South
2024-02-15,Books,Stationery,17,39599,West
2024-08-29,Notebook,Stationery,1,9005,West
2024-08-20,Mobile,Electronics,1,27524,North
2024-06-02,Chair,Furniture,13,47319,South
2024-03-30,Notebook,Stationery,6,23498,South
2024-04-15,Table,Furniture,15,3141,East
2024-05-02,Printer,Electronics,11,38950,South
2024-02-10,Keyboard,Electronics,9,26115,South
2024-01-07,Desk,Furniture,15,24926,East
2024-07-06,Table,Furniture,3,21388,South
2024-01-12,Sofa,Furniture,18,15449,East
2024-05-01,Laptop,Electronics,13,17750,East
2024-08-08,Notebook,Stationery,4,4880,East
2024-03-22,Mouse,Electronics,19,24463,South
2024-11-07,Sofa,Furniture,5,48579,North
2024-02-04,Pen,Stationery,10,9046,North
2024-11-27,Keyboard,Electronics,15,33220,North
2024-08-07,Chair,Furniture,5,12903,West
2024-04-05,Desk,Furniture,18,15382,North
2024-08-15,Chair,Furniture,2,22115,South
2024-08-30,Notebook,Stationery,4,45450,East
2024-01-18,Table,Furniture,12,48464,West
2024-10-08,Mouse,Electronics,1,27590,West
2024-01-14,Sofa,Furniture,10,41999,South
2024-02-10,Sofa,Furniture,5,45065,South
2024-08-18,Desk,Furniture,15,32881,North
2024-12-10,Sofa,Furniture,6,36084,North
2024-06-12,Sofa,Furniture,5,43106,North
2024-04-27,Pen,Stationery,11,44838,South
2024-12-15,Chair,Furniture,10,11183,North
2024-01-01,Headphones,Electronics,8,14094,North
2024-07-22,Desk,Furniture,11,6216,North
2024-06-04,Laptop,Electronics,12,14235,East
2024-11-29,Notebook,Stationery,12,17758,South
2024-10-08,Mouse,Electronics,5,25719,North
2024-09-01,Mouse,Electronics,3,20777,East
2024-01-12,Laptop,Electronics,17,34097,South
2024-08-04,Mobile,Electronics,11,225,South
2024-06-26,Laptop,Electronics,7,6738,East
2024-12-01,Desk,Furniture,13,12695,South
2024-12-06,Desk,Furniture,8,10325,North
2024-03-26,Books,Stationery,6,37480,East
2024-04-23,Chair,Furniture,11,22573,South
2024-08-19,Mobile,Electronics,8,402,North
2024-10-15,Books,Stationery,14,30759,North
2024-02-22,Pen,Stationery,16,46833,West
2024-07-10,Laptop,Electronics,2,37973,South
2024-03-29,Books,Stationery,1,7948,West
2024-11-19,Laptop,Electronics,13,19714,South
2024-04-11,Keyboard,Electronics,14,1767,East
2024-10-05,Table,Furniture,18,31216,East
2024-11-05,Tablet,Electronics,1,1467,East
2024-03-16,Headphones,Electronics,15,23716,South
2024-04-02,Pen,Stationery,19,35743,North
2024-04-11,Laptop,Electronics,17,31110,South
2024-09-21,Pen,Stationery,8,25637,East
2024-04-26,Mobile,Electronics,8,35731,North
2024-10-30,Chair,Furniture,12,21736,North
2024-12-08,Pen,Stationery,11,25619,South
2024-01-21,Table,Furniture,12,13278,East
2024-05-03,Pen,Stationery,16,27864,East
2024-09-27,Monitor,Electronics,11,37014,West
2024-11-29,Headphones,Electronics,19,46981,North
2024-06-05,Monitor,Electronics,14,36478,East
2024-01-02,Notebook,Stationery,4,42741,North
2024-12-16,Monitor,Electronics,11,34154,West
2024-11-07,Sofa,Furniture,13,3754,North
2024-03-24,Chair,Furniture,10,24711,West
2024-06-21,Sofa,Furniture,1,21775,South
2024-04-27,Pen,Stationery,13,15322,North
2024-09-27,Desk,Furniture,9,37484,South
2024-07-26,Chair,Furniture,10,6395,North
2024-05-31,Sofa,Furniture,5,45205,East
2024-06-12,Notebook,Stationery,18,37878,South
2024-04-17,Mouse,Electronics,18,26260,South
2024-10-19,Mouse,Electronics,17,41721,East
2024-03-18,Pen,Stationery,11,9260,North
2024-10-17,Laptop,Electronics,2,17827,East
2024-05-04,Mobile,Electronics,3,32217,East
2024-07-06,Laptop,Electronics,11,44411,South
2024-10-14,Notebook,Stationery,6,10893,East
2024-08-16,Keyboard,Electronics,4,45899,North
2024-03-10,Books,Stationery,8,10206,North
2024-01-05,Books,Stationery,17,3813,West
2024-02-19,Books,Stationery,8,34603,East
2024-11-21,Desk,Furniture,3,8633,South
2024-10-12,Notebook,Stationery,6,9786,West
2024-11-28,Desk,Furniture,4,47656,North
2024-06-06,Pen,Stationery,16,35533,North
2024-05-15,Books,Stationery,16,42991,West
2024-12-13,Notebook,Stationery,13,7546,East
2024-11-16,Chair,Furniture,8,41423,North
2024-10-14,Chair,Furniture,6,26442,North
2024-08-13,Printer,Electronics,12,9815,North
2024-04-23,Desk,Furniture,1,5882,North
2024-09-05,Chair,Furniture,2,30782,North
2024-07-08,Tablet,Electronics,3,38167,East
2024-09-18,Desk,Furniture,18,37274,East
2024-11-11,Sofa,Furniture,15,4537,North
2024-02-11,Desk,Furniture,15,33428,South
2024-08-03,Chair,Furniture,3,11521,South
2024-01-07,Table,Furniture,6,28595,West
2024-06-11,Chair,Furniture,15,46584,South
2024-10-02,Notebook,Stationery,3,7473,South
2024-09-09,Chair,Furniture,2,9084,South
2024-04-19,Monitor,Electronics,14,31652,West
2024-01-25,Table,Furniture,3,35398,North
2024-01-25,Mobile,Electronics,8,35832,East
2024-05-07,Monitor,Electronics,12,8067,West
2024-05-25,Mouse,Electronics,14,28279,North
2024-05-09,Notebook,Stationery,11,20833,West
2024-09-22,Pen,Stationery,19,13928,North
2024-09-09,Table,Furniture,11,49941,East
2024-04-08,Books,Stationery,19,45036,North
2024-09-19,Monitor,Electronics,14,9174,West
2024-02-09,Monitor,Electronics,4,34506,North
2024-08-18,Mouse,Electronics,4,12511,South
2024-06-03,Books,Stationery,3,31338,West
2024-03-26,Table,Furniture,7,10056,North
2024-09-02,Sofa,Furniture,2,24382,South
2024-11-09,Books,Stationery,10,24122,West
2024-08-29,Books,Stationery,1,22840,North
2024-06-21,Headphones,Electronics,18,47176,West
2024-07-09,Tablet,Electronics,17,4895,North
2024-02-21,Books,Stationery,4,25221,West
2024-08-08,Desk,Furniture,3,14156,West
2024-04-22,Keyboard,Electronics,10,43504,North
2024-05-08,Printer,Electronics,9,25100,South
2024-11-09,Laptop,Electronics,10,24917,West
2024-09-20,Monitor,Electronics,11,27525,East
2024-12-08,Desk,Furniture,17,49330,West
2024-03-27,Tablet,Electronics,5,30211,North
2024-04-18,Printer,Electronics,11,36324,East
2024-10-03,Books,Stationery,5,16631,West
2024-05-18,Sofa,Furniture,14,48455,West
2024-09-17,Pen,Stationery,7,28238,North
2024-05-17,Table,Furniture,8,5539,South
2024-02-18,Books,Stationery,8,35244,West
2024-06-17,Desk,Furniture,14,42700,North
2024-05-28,Sofa,Furniture,18,46957,West
2024-06-08,Notebook,Stationery,13,42776,East
2024-09-29,Sofa,Furniture,10,45938,West
2024-11-10,Sofa,Furniture,9,22268,South
2024-07-31,Chair,Furniture,18,27513,West
2024-05-01,Notebook,Stationery,17,12358,West
2024-09-24,Sofa,Furniture,7,10836,North
2024-05-28,Notebook,Stationery,13,40033,South
2024-05-30,Desk,Furniture,14,17130,West
2024-12-13,Notebook,Stationery,11,43641,North
2024-10-09,Mobile,Electronics,2,45368,South
2024-03-28,Pen,Stationery,19,46586,West
2024-07-07,Keyboard,Electronics,11,27144,North
2024-01-30,Pen,Stationery,19,16506,East
2024-05-15,Books,Stationery,5,29906,South
2024-12-29,Desk,Furniture,8,22756,North
2024-08-11,Books,Stationery,4,48331,West
2024-01-10,Table,Furniture,11,2620,North
2024-04-21,Sofa,Furniture,2,31756,North
2024-08-21,Monitor,Electronics,4,47801,South
2024-01-14,Table,Furniture,12,26932,North
2024-08-30,Chair,Furniture,11,36851,East
2024-05-11,Notebook,Stationery,19,17181,East
2024-08-14,Monitor,Electronics,10,47739,South
2024-02-07,Keyboard,Electronics,8,14637,South
2024-03-11,Headphones,Electronics,17,27866,West
2024-08-16,Keyboard,Electronics,3,16187,West
2024-09-10,Sofa,Furniture,4,36827,West
2024-06-07,Table,Furniture,18,14326,West
2024-05-31,Books,Stationery,14,12793,North
2024-12-21,Table,Furniture,6,13528,West
2024-07-01,Books,Stationery,4,5569,North
2024-04-25,Books,Stationery,18,33698,North
2024-11-08,Pen,Stationery,15,46126,West
2024-09-16,Chair,Furniture,1,45353,West
2024-02-16,Pen,Stationery,15,34601,South
2024-11-20,Pen,Stationery,9,45757,North
2024-04-16,Mobile,Electronics,18,46950,North
2024-12-02,Table,Furniture,13,35625,East
2024-02-04,Tablet,Electronics,19,17933,South
2024-02-18,Sofa,Furniture,5,8099,North
2024-03-10,Desk,Furniture,5,43463,South
2024-05-08,Sofa,Furniture,7,5205,West
2024-06-22,Monitor,Electronics,6,13593,West
2024-12-29,Mouse,Electronics,4,23352,South
2024-08-07,Table,Furniture,7,262,South
2024-04-15,Desk,Furniture,16,34882,North
2024-10-27,Keyboard,Electronics,12,41900,West
2024-01-21,Notebook,Stationery,11,38428,West
2024-06-08,Chair,Furniture,7,31458,West
2024-06-02,Pen,Stationery,16,39210,West
2024-01-21,Chair,Furniture,5,18845,South
2024-10-31,Tablet,Electronics,5,31803,East
2024-06-09,Books,Stationery,12,16476,South
2024-11-22,Monitor,Electronics,10,15452,South
2024-03-01,Books,Stationery,17,9979,North
2024-03-26,Desk,Furniture,11,46860,North
2024-04-07,Mobile,Electronics,6,12585,North
2024-01-22,Chair,Furniture,5,18021,West
2024-05-23,Mobile,Electronics,10,197,West
2024-03-16,Books,Stationery,7,27833,West
2024-07-10,Notebook,Stationery,10,17094,East
2024-01-20,Books,Stationery,7,18808,South
2024-08-19,Notebook,Stationery,15,6619,North
2024-06-16,Notebook,Stationery,14,49150,South
2024-09-04,Chair,Furniture,2,16380,South
2024-08-14,Books,Stationery,10,42071,South
2024-07-15,Pen,Stationery,18,38414,East
2024-10-23,Notebook,Stationery,8,33343,West
2024-02-16,Headphones,Electronics,8,6810,East
2024-11-11,Desk,Furniture,18,47757,West
2024-12-01,Desk,Furniture,2,19306,East
2024-02-09,Tablet,Electronics,18,1998,South
2024-01-08,Monitor,Electronics,1,23651,North
2024-12-31,Books,Stationery,4,40001,South
2024-01-16,Books,Stationery,12,15249,North
2024-04-11,Books,Stationery,13,1383,South
2024-05-10,Pen,Stationery,5,9852,North
2024-05-12,Monitor,Electronics,2,24317,East
2024-05-13,Monitor,Electronics,9,9687,East
2024-12-29,Tablet,Electronics,2,46543,North
2024-05-10,Printer,Electronics,2,46137,West
2024-06-04,Table,Furniture,16,36216,West
2024-06-11,Table,Furniture,1,25656,West
2024-12-03,Chair,Furniture,19,13330,South
2024-05-29,Books,Stationery,16,41955,North
2024-09-27,Monitor,Electronics,11,11201,East
2024-03-06,Books,Stationery,16,22533,East
2024-05-27,Pen,Stationery,6,39212,West
2024-10-29,Printer,Electronics,3,33309,South
2024-04-26,Pen,Stationery,3,9628,North
2024-02-08,Desk,Furniture,14,16943,North
2024-04-24,Books,Stationery,15,10549,North
2024-02-15,Sofa,Furniture,2,15323,South
2024-02-04,Desk,Furniture,8,15137,East
2024-03-24,Sofa,Furniture,14,22110,North
2024-04-11,Printer,Electronics,14,4349,East
2024-10-01,Desk,Furniture,19,15382,North
2024-03-13,Mouse,Electronics,14,7330,East
2024-04-29,Books,Stationery,19,4593,South
2024-10-12,Headphones,Electronics,4,31755,North
2024-08-14,Printer,Electronics,14,29592,North
2024-03-08,Notebook,Stationery,9,5927,West
2024-07-01,Chair,Furniture,14,5474,West
2024-09-24,Keyboard,Electronics,17,9985,East
2024-09-11,Notebook,Stationery,18,1592,North
2024-06-20,Printer,Electronics,5,43046,North
2024-11-19,Headphones,Electronics,9,20000,East
2024-10-27,Mobile,Electronics,1,46187,East
2024-02-16,Notebook,Stationery,12,6417,East
2024-11-02,Tablet,Electronics,8,14968,South
2024-11-06,Headphones,Electronics,19,28903,East
2024-12-07,Desk,Furniture,13,8870,West
2024-12-26,Desk,Furniture,2,11290,North
2024-06-01,Notebook,Stationery,6,2361,South
2024-08-05,Headphones,Electronics,12,29033,East
2024-04-02,Notebook,Stationery,1,45596,North
2024-10-17,Tablet,Electronics,8,8433,West
2024-07-07,Monitor,Electronics,17,6896,South
2024-02-12,Keyboard,Electronics,17,17643,West
2024-09-01,Mobile,Electronics,7,16824,North
2024-08-20,Table,Furniture,11,27105,North
2024-10-03,Laptop,Electronics,9,33723,East
2024-07-10,Pen,Stationery,9,22154,East
2024-05-06,Sofa,Furniture,11,17840,South
2024-11-27,Laptop,Electronics,8,8310,West
2024-08-27,Headphones,Electronics,13,44399,North
2024-09-06,Mobile,Electronics,7,33855,North
2024-06-06,Tablet,Electronics,14,13754,North
2024-12-05,Pen,Stationery,17,22290,South
2024-06-09,Table,Furniture,4,17473,East
2024-03-24,Chair,Furniture,19,34642,North
2024-02-10,Monitor,Electronics,19,19186,East
2024-11-02,Sofa,Furniture,9,49453,East
2024-02-20,Mobile,Electronics,14,12597,South
2024-09-15,Laptop,Electronics,7,46719,West
2024-06-14,Sofa,Furniture,2,34496,East
2024-09-24,Desk,Furniture,2,13492,East
2024-12-22,Books,Stationery,13,2098,North
2024-10-03,Chair,Furniture,6,34687,South
2024-03-13,Notebook,Stationery,4,35526,North
